,Players,Role
0,Sabbir Rahman,Batsman
1,Shakib Al Hasan (c),Batting All-rounder
2,Afif Hossain,Batting All-rounder
3,Mosaddek Hossain,Batting All-rounder
4,Mahmudullah,Batting All-rounder
5,Mahedi Hasan,Batting All-rounder
6,Mohammad Saifuddin,Bowling All-rounder
7,Mehidy Hasan Miraz,Bowling All-rounder
8,Anamul Haque,WK-Batsman
9,Mushfiqur Rahim,WK-Batsman
10,Parvez Hossain Emon,WK-Batsman
11,Nurul Hasan Sohan(Ruled out),WK-Batsman
12,Hasan Mahmud(Ruled out),Bowler
13,Mustafizur Rahman,Bowler
14,Nasum Ahmed,Bowler
15,Ebadot Hossain,Bowler
16,Taskin Ahmed,Bowler
