,Players,Role
0,Pathum Nissanka,Batsman
1,Nuwanidu Fernando,Batsman
2,Danushka Gunathilaka,Batting All-rounder
3,Dhananjaya de Silva,Batting All-rounder
4,Dasun Shanaka (C),Batting All-rounder
5,Charith Asalanka,Bowling All-rounder
6,Wanindu Hasaranga,Bowling All-rounder
7,Kusal Mendis,WK-Batsman
8,Bhanuka Rajapaksa,WK-Batsman
9,Dinesh Chandimal,WK-Batsman
10,Ashen Bandara,Bowler
11,Maheesh Theekshana,Bowler
12,Jeffrey Vandersay,Bowler
13,Praveen Jayawickrama,Bowler
14,Chamika Karunaratne,Bowler
15,Dilshan Madushanka,Bowler
16,Matheesha Pathirana,Bowler
17,Nuwan Thushara,Bowler
